param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
1,0.003,0.001,0.001,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.003,0.003,0.,0.002,0.,0.001
2,0.004,0.002,0.001,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.004,0.003,0.001,0.002,0.002,0.
10,0.018,0.007,0.01,0.003,0.,0.003,0.005,0.,0.005,0.005,0.,0.005,0.022,0.007,0.015,0.015,0.007,0.007
20,0.094,0.012,0.082,0.062,0.,0.062,0.01,0.,0.009,0.013,0.,0.013,0.1,0.015,0.084,0.032,0.012,0.02
30,0.058,0.,0.058,0.011,0.,0.011,0.018,0.,0.018,0.024,0.003,0.021,0.065,0.,0.065,0.046,0.,0.046
40,0.096,0.,0.096,0.019,0.,0.019,0.04,0.,0.04,0.085,0.016,0.069,0.105,0.,0.105,0.076,0.,0.076
50,0.201,0.032,0.168,0.03,0.,0.03,0.036,0.,0.036,0.044,0.016,0.028,0.217,0.035,0.182,0.17,0.032,0.137
60,0.236,0.,0.236,0.056,0.,0.056,0.048,0.,0.048,0.047,0.,0.047,0.224,0.,0.224,0.179,0.,0.179
70,0.369,0.,0.369,0.088,0.,0.088,0.062,0.,0.062,0.059,0.,0.059,0.372,0.007,0.364,0.28,0.,0.28
80,0.339,0.003,0.335,0.07,0.,0.07,0.084,0.,0.084,0.075,0.,0.075,0.369,0.,0.369,0.268,0.003,0.265
90,0.444,0.003,0.44,0.088,0.,0.088,0.093,0.,0.093,0.099,0.,0.099,0.458,0.003,0.454,0.355,0.003,0.351
100,0.674,0.003,0.671,0.144,0.,0.144,0.122,0.,0.122,0.176,0.007,0.169,0.688,0.,0.688,0.529,0.003,0.526
110,0.66,0.,0.66,0.141,0.,0.141,0.127,0.,0.127,0.142,0.,0.142,0.674,0.,0.674,0.518,0.,0.518
120,0.779,0.,0.779,0.154,0.,0.154,0.156,0.,0.156,0.151,0.,0.151,0.795,0.003,0.791,0.624,0.,0.623
130,0.951,0.,0.951,0.178,0.,0.177,0.178,0.,0.178,0.223,0.,0.223,0.963,0.,0.962,0.773,0.,0.773
140,1.102,0.007,1.094,0.201,0.,0.201,0.202,0.,0.202,0.216,0.,0.216,1.134,0.,1.134,0.901,0.007,0.893
150,1.227,0.012,1.215,0.227,0.,0.227,0.226,0.,0.226,0.251,0.,0.251,1.294,0.003,1.29,0.999,0.012,0.987
160,1.46,0.007,1.452,0.257,0.,0.257,0.263,0.,0.263,0.249,0.,0.249,1.491,0.003,1.483,1.202,0.007,1.194
170,1.565,0.004,1.561,0.281,0.,0.281,0.294,0.,0.294,0.272,0.,0.272,1.699,0.008,1.691,1.283,0.004,1.278
180,1.86,0.003,1.856,0.324,0.,0.324,0.322,0.,0.322,0.308,0.,0.308,1.813,0.007,1.805,1.536,0.003,1.532
190,2.013,0.,2.01,0.375,0.,0.374,0.354,0.,0.354,0.342,0.,0.341,2.143,0.,2.142,1.637,0.,1.634
200,2.279,0.003,2.275,0.401,0.,0.401,0.391,0.,0.391,0.465,0.,0.465,2.239,0.008,2.231,1.877,0.003,1.873
210,2.591,0.007,2.583,0.43,0.,0.43,0.418,0.,0.418,0.411,0.,0.411,2.854,0.007,2.846,2.16,0.007,2.152
220,2.808,0.007,2.8,0.469,0.,0.469,0.457,0.,0.457,0.443,0.,0.443,2.992,0.011,2.979,2.337,0.007,2.329
230,3.497,0.,3.497,0.525,0.,0.525,0.5,0.,0.5,0.495,0.,0.495,3.5,0.,3.5,2.97,0.,2.97
240,3.558,0.003,3.553,0.576,0.,0.576,0.542,0.,0.541,0.541,0.,0.541,3.626,0.,3.625,2.98,0.003,2.976
250,3.833,0.004,3.829,0.603,0.,0.603,0.602,0.,0.602,0.561,0.,0.561,3.76,0.,3.76,3.228,0.003,3.224
300,6.213,0.,6.212,0.884,0.,0.884,0.858,0.,0.858,0.808,0.,0.808,6.337,0.,6.336,5.328,0.,5.327
400,12.26,0.04,12.219,1.552,0.003,1.548,1.434,0.003,1.43,1.411,0.,1.411,12.588,0.027,12.559,10.707,0.036,10.67
