Params: 0-n= 3 , 1-lgn= 1
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 7 , 1-lgn= 2
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 15 , 1-lgn= 3
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
